,ï»¿State,Year,Values
6,United States,2020,228195802.4
12,United States,2019,228679719.2
18,United States,2018,227548895.0
27,United States,2017,225346257.0
33,United States,2016,221711918.0
39,United States,2015,218084465.3
45,United States,2014,214092471.7
51,United States,2013,212159728.0
57,United States,2012,211814830.0
63,United States,2011,211874649.2
69,United States,2010,210114939.3
