,Variables,Coefficents
0,Population,0.46508557328234723
1,Pop_Density,1.7578583405022568
2,Vehicles,-2.3807371278658653
3,Licenses,3.0268156434942934
4,Temperature,-2.5815958356208575
5,Visibility,-0.6062584916204065
6,Precipitation,-0.6694025722099679
7,Wind_Speed,-0.864764599915544
8,Pressure,14.726440312380387
9,Lat,-4.1093117833508845
10,Lng,2.0023110808423232
